Year,City,Vehicle Type,Converted,Diesel,Electric,Flexible,Gasoline,Hybrid,Natural Gas,Other,Plug In Hybrid,Propane,TOTAL
2019,ALPINE,Motorcycle - Standard,0,0,0,0,371,0,0,0,0,0,371
2019,ALPINE,Passenger - Low Speed,0,0,2,0,0,0,0,0,0,0,2
2019,ALPINE,Passenger - Standard,1,51,41,149,4156,158,6,0,21,0,4583
2019,ALPINE,Light Truck,1,414,17,457,2999,49,1,0,6,0,3944
2019,ALPINE,Heavy Truck,0,70,0,1,26,0,0,0,0,0,97
2019,ALTA,Motorcycle - Standard,0,0,0,0,10,0,0,0,0,0,10
2019,ALTA,Passenger - Standard,0,1,1,9,93,1,0,0,0,0,105
2019,ALTA,Light Truck,0,12,0,23,108,1,0,0,0,0,144
2019,ALTA,Heavy Truck,0,2,0,0,0,0,0,0,0,0,2
2019,ALTAMONT,Motorcycle - Standard,0,0,0,0,22,0,0,0,0,0,22
2019,ALTAMONT,Passenger - Standard,0,5,0,25,248,0,0,0,0,0,278
2019,ALTAMONT,Light Truck,0,171,0,83,398,0,0,0,0,0,652
2019,ALTAMONT,Heavy Truck,0,119,0,2,3,0,0,0,0,0,124
2019,ALTON,Motorcycle - Standard,0,0,0,0,5,0,0,0,0,0,5
2019,ALTON,Passenger - Standard,0,4,0,3,63,1,0,0,0,0,71
2019,ALTON,Light Truck,0,65,0,12,88,0,0,0,0,0,165
2019,ALTON,Heavy Truck,0,18,0,0,3,0,0,0,0,0,21
2019,ALTONAH,Motorcycle - Standard,0,0,0,0,8,0,0,0,0,0,8
2019,ALTONAH,Passenger - Standard,0,1,0,4,62,1,0,0,0,0,68
2019,ALTONAH,Light Truck,0,64,0,20,97,0,0,0,0,0,181
2019,ALTONAH,Heavy Truck,0,18,0,0,1,0,0,0,0,0,19
2019,AMALGA,Motorcycle - Standard,0,0,0,0,19,0,0,0,0,0,19
2019,AMALGA,Passenger - Standard,1,0,0,7,174,1,0,0,0,0,183
2019,AMALGA,Light Truck,0,53,0,19,152,0,0,0,0,0,224
2019,AMALGA,Heavy Truck,0,23,0,0,4,0,0,0,0,0,27
2019,AMERICAN FORK,Motorcycle - Standard,0,0,2,0,662,0,0,0,0,0,664
2019,AMERICAN FORK,Passenger - Low Speed,0,0,1,0,0,0,0,0,0,0,1
2019,AMERICAN FORK,Passenger - Standard,11,74,40,561,11639,289,18,0,35,0,12667
2019,AMERICAN FORK,Light Truck,13,1094,3,1133,7176,49,5,1,2,0,9476
2019,AMERICAN FORK,Heavy Truck,0,970,0,8,113,0,0,0,0,7,1098
2019,ANETH,Motorcycle - Standard,0,0,0,0,12,0,0,0,0,0,12
2019,ANETH,Passenger - Standard,0,0,0,14,191,3,0,0,1,0,209
2019,ANETH,Light Truck,0,36,0,89,269,0,0,0,0,0,394
2019,ANETH,Heavy Truck,0,4,0,0,0,0,0,0,0,0,4
2019,ANNABELLA,Motorcycle - Standard,0,0,0,0,20,0,0,0,0,0,20
2019,ANNABELLA,Passenger - Standard,1,3,0,26,411,3,0,0,0,0,444
2019,ANNABELLA,Light Truck,1,137,0,54,420,0,0,0,0,0,612
2019,ANNABELLA,Heavy Truck,0,18,0,0,5,0,0,0,0,0,23
2019,ANTIMONY,Motorcycle - Standard,0,0,0,0,8,0,0,0,0,0,8
2019,ANTIMONY,Passenger - Standard,0,1,0,7,77,1,0,0,0,0,86
2019,ANTIMONY,Light Truck,0,52,0,15,92,0,0,0,0,0,159
2019,ANTIMONY,Heavy Truck,0,8,0,0,0,0,0,0,0,0,8
2019,APPLE VALLEY,Motorcycle - Standard,0,0,0,0,38,0,0,0,0,0,38
2019,APPLE VALLEY,Passenger - Standard,1,5,0,10,305,12,1,0,0,0,334
2019,APPLE VALLEY,Light Truck,0,118,0,35,309,1,0,0,0,0,463
2019,APPLE VALLEY,Heavy Truck,0,17,0,0,7,0,0,0,0,0,24
2019,AURORA,Motorcycle - Standard,0,0,0,0,33,0,0,0,0,0,33
2019,AURORA,Passenger - Standard,2,3,0,30,451,9,0,0,0,0,495
2019,AURORA,Light Truck,2,247,0,68,485,2,0,0,0,0,804
2019,AURORA,Heavy Truck,0,165,0,0,3,0,0,0,0,0,168
2019,AXTELL,Motorcycle - Standard,0,0,0,0,2,0,0,0,0,0,2
2019,AXTELL,Passenger - Standard,0,0,0,9,134,2,0,0,0,0,145
2019,AXTELL,Light Truck,0,78,0,11,116,0,0,0,0,0,205
2019,AXTELL,Heavy Truck,0,10,0,0,3,0,0,0,0,0,13
2019,BALLARD,Motorcycle - Standard,0,0,0,0,23,0,0,0,0,0,23
2019,BALLARD,Passenger - Standard,0,2,0,21,292,3,0,0,0,0,318
2019,BALLARD,Light Truck,0,144,0,67,391,0,0,0,0,0,602
2019,BALLARD,Heavy Truck,0,102,0,0,3,0,0,0,0,0,105
2019,BEAR RIVER CITY,Motorcycle - Standard,0,0,0,0,35,0,0,0,0,0,35
2019,BEAR RIVER CITY,Passenger - Standard,0,6,1,26,384,4,4,0,1,0,426
2019,BEAR RIVER CITY,Light Truck,3,156,0,56,336,0,0,0,0,0,551
2019,BEAR RIVER CITY,Heavy Truck,0,49,0,0,7,0,0,0,0,0,56
2019,BEAVER,Motorcycle - Standard,0,0,0,0,96,0,0,0,0,0,96
2019,BEAVER,Passenger - Standard,1,13,0,89,1593,33,1,0,0,0,1730
2019,BEAVER,Light Truck,3,546,0,218,1912,4,1,0,0,0,2684
2019,BEAVER,Heavy Truck,0,200,0,1,34,0,1,0,0,0,236
2019,BENJAMIN,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,11
2019,BENJAMIN,Passenger - Standard,1,1,0,6,163,2,1,0,0,0,174
2019,BENJAMIN,Light Truck,1,95,0,21,126,0,0,0,0,0,243
2019,BENJAMIN,Heavy Truck,0,14,0,0,2,0,0,0,0,1,17
2019,BENSON,Motorcycle - Standard,0,0,0,0,13,0,0,0,0,0,13
2019,BENSON,Passenger - Standard,0,4,0,11,237,3,0,0,0,0,255
2019,BENSON,Light Truck,0,83,0,28,189,2,0,0,0,0,302
2019,BENSON,Heavy Truck,0,42,0,0,6,0,0,0,0,0,48
2019,BERYL,Motorcycle - Standard,0,0,0,0,14,0,0,0,0,0,14
2019,BERYL,Passenger - Standard,1,2,0,14,292,7,0,0,0,0,316
2019,BERYL,Light Truck,0,125,0,54,341,1,0,0,0,0,521
2019,BERYL,Heavy Truck,0,109,0,2,3,0,0,0,0,0,114
2019,BICKNELL,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,11
2019,BICKNELL,Passenger - Standard,1,3,0,21,207,3,0,0,0,0,235
2019,BICKNELL,Light Truck,0,87,0,20,202,3,0,0,0,0,312
2019,BICKNELL,Heavy Truck,0,50,0,0,3,0,0,0,0,1,54
2019,BIG WATER,Motorcycle - Standard,0,0,0,0,10,0,0,0,0,0,10
2019,BIG WATER,Passenger - Standard,0,2,0,8,116,2,0,0,0,0,128
2019,BIG WATER,Light Truck,0,39,0,21,128,0,0,0,1,0,189
2019,BIG WATER,Heavy Truck,0,7,0,0,1,0,0,0,0,0,8
2019,BINGHAM CANYON,Motorcycle - Standard,0,0,0,0,9,0,0,0,0,0,9
2019,BINGHAM CANYON,Passenger - Standard,0,0,0,8,88,1,1,0,1,0,99
2019,BINGHAM CANYON,Light Truck,0,9,0,76,108,1,0,0,0,0,194
2019,BINGHAM CANYON,Heavy Truck,0,24,0,0,2,0,0,0,0,0,26
2019,BLANDING,Motorcycle - Standard,0,0,0,0,98,0,0,0,0,0,98
2019,BLANDING,Passenger - Standard,3,13,1,103,1346,24,2,0,0,0,1492
2019,BLANDING,Light Truck,0,340,0,216,1380,1,0,0,0,0,1937
2019,BLANDING,Heavy Truck,0,165,0,0,14,0,0,0,0,0,179
2019,BLUEBELL,Motorcycle - Standard,0,0,0,0,22,0,0,0,0,0,22
2019,BLUEBELL,Passenger - Standard,0,2,0,22,198,1,0,0,0,0,223
2019,BLUEBELL,Light Truck,0,145,0,30,253,0,1,0,0,0,429
2019,BLUEBELL,Heavy Truck,0,32,0,0,1,0,0,0,0,0,33
2019,BLUFF,Motorcycle - Standard,0,0,0,0,10,0,0,0,0,0,10
2019,BLUFF,Passenger - Standard,0,2,0,17,195,7,0,0,0,0,221
2019,BLUFF,Light Truck,0,47,0,48,283,2,0,0,0,0,380
2019,BLUFF,Heavy Truck,0,4,0,0,2,0,0,0,0,0,6
2019,BLUFFDALE,Motorcycle - Standard,0,0,0,0,307,0,0,0,0,0,307
2019,BLUFFDALE,Passenger - Low Speed,0,0,1,0,0,0,0,0,0,0,1
2019,BLUFFDALE,Passenger - Standard,3,35,28,184,4011,99,9,0,20,0,4389
2019,BLUFFDALE,Light Truck,6,956,2,559,3307,30,5,0,1,1,4867
2019,BLUFFDALE,Heavy Truck,0,311,0,0,65,0,0,0,0,0,376
2019,BOULDER,Motorcycle - Standard,0,0,0,0,9,0,0,0,0,0,9
2019,BOULDER,Passenger - Standard,0,3,1,5,128,3,0,0,0,0,140
2019,BOULDER,Light Truck,0,41,0,22,194,0,0,0,0,0,257
2019,BOULDER,Heavy Truck,0,5,0,0,0,0,0,0,0,0,5
2019,BOUNTIFUL,Motorcycle - Standard,0,0,0,1,1285,0,0,0,0,0,1286
2019,BOUNTIFUL,Passenger - Standard,19,88,84,712,18657,500,46,0,65,1,20172
2019,BOUNTIFUL,Light Truck,13,958,7,1491,11416,142,8,0,8,0,14043
2019,BOUNTIFUL,Heavy Truck,1,197,0,2,124,0,0,0,0,0,324
2019,BRIAN HEAD,Motorcycle - Standard,0,0,0,0,19,0,0,0,0,0,19
2019,BRIAN HEAD,Passenger - Standard,0,4,0,5,78,5,0,0,0,0,92
2019,BRIAN HEAD,Light Truck,0,41,0,14,146,0,0,0,0,0,201
2019,BRIAN HEAD,Heavy Truck,0,9,0,0,1,0,0,0,0,0,10
2019,BRIGHAM CITY,Motorcycle - Standard,0,0,1,0,652,0,0,0,0,0,653
2019,BRIGHAM CITY,Passenger - Standard,28,74,7,533,10100,170,26,0,29,0,10967
2019,BRIGHAM CITY,Light Truck,9,1305,0,984,6136,30,6,0,1,0,8471
2019,BRIGHAM CITY,Heavy Truck,0,758,0,20,170,0,1,0,0,0,949
2019,BRIGHTON,Motorcycle - Standard,0,0,0,0,29,0,0,0,0,0,29
2019,BRIGHTON,Passenger - Standard,0,1,1,5,124,2,1,0,0,0,134
2019,BRIGHTON,Light Truck,0,20,1,22,169,2,0,0,0,0,214
2019,BRIGHTON,Heavy Truck,0,2,0,1,2,0,0,0,0,0,5
2019,BROOKSIDE,Motorcycle - Standard,0,0,0,0,21,0,0,0,0,0,21
2019,BROOKSIDE,Passenger - Standard,0,4,0,4,124,5,0,0,0,0,137
2019,BROOKSIDE,Light Truck,0,46,0,16,125,0,0,0,0,0,187
2019,BROOKSIDE,Heavy Truck,0,15,0,0,6,0,0,0,0,0,21
2019,BRYCE CANYON,Motorcycle - Standard,0,0,0,0,3,0,0,0,0,0,3
2019,BRYCE CANYON,Passenger - Standard,0,0,0,1,56,5,0,0,0,0,62
2019,BRYCE CANYON,Light Truck,0,15,0,9,59,0,0,0,0,0,83
2019,BRYCE CANYON,Heavy Truck,0,2,0,0,0,0,0,0,0,0,2
2019,CANNONVILLE,Motorcycle - Standard,0,0,0,0,1,0,0,0,0,0,1
2019,CANNONVILLE,Passenger - Standard,0,1,0,7,63,0,0,0,0,0,71
2019,CANNONVILLE,Light Truck,0,40,0,8,81,0,0,0,0,0,129
2019,CANNONVILLE,Heavy Truck,0,18,0,0,1,0,0,0,0,0,19
2019,CASTLE DALE,Motorcycle - Standard,0,0,0,0,32,0,0,0,0,0,32
2019,CASTLE DALE,Passenger - Standard,2,5,0,46,666,9,0,0,1,0,729
2019,CASTLE DALE,Light Truck,2,243,0,91,687,3,0,0,0,0,1026
2019,CASTLE DALE,Heavy Truck,0,88,0,0,9,0,0,0,0,0,97
2019,CASTLE VALLEY,Motorcycle - Standard,0,0,0,0,26,0,0,0,0,0,26
2019,CASTLE VALLEY,Passenger - Standard,0,3,1,2,152,5,0,0,0,0,163
2019,CASTLE VALLEY,Light Truck,0,42,0,28,234,1,0,0,0,0,305
