Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2020,ALPINE,Motorcycle - Standard,0,0,0,0,386,0,0,0,0,0,0,386
2020,ALPINE,Passenger - Low Speed,0,0,0,2,0,0,0,0,0,0,0,2
2020,ALPINE,Passenger - Standard,0,6,62,56,4017,161,0,0,24,0,0,4326
2020,ALPINE,Light Truck,0,4,395,19,3756,58,0,0,9,0,0,4241
2020,ALPINE,Heavy Truck,0,0,119,0,28,0,0,0,0,0,0,147
2020,ALTA,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,0,11
2020,ALTA,Passenger - Standard,0,0,1,1,98,0,0,0,0,0,0,100
2020,ALTA,Light Truck,0,0,13,1,146,2,0,0,0,0,0,162
2020,ALTA,Heavy Truck,0,0,1,0,0,0,0,0,0,0,0,1
2020,ALTAMONT,Motorcycle - Standard,0,0,0,0,17,0,0,0,0,0,0,17
2020,ALTAMONT,Passenger - Standard,0,0,4,0,263,0,0,0,0,0,0,267
2020,ALTAMONT,Light Truck,0,0,188,0,501,0,0,0,0,0,0,689
2020,ALTAMONT,Heavy Truck,0,0,119,0,9,0,0,0,0,0,0,128
2020,ALTON,Motorcycle - Standard,0,0,0,0,5,0,0,0,0,0,0,5
2020,ALTON,Passenger - Standard,0,0,1,0,70,2,0,0,0,0,0,73
2020,ALTON,Light Truck,0,0,67,0,122,0,0,0,0,0,0,189
2020,ALTON,Heavy Truck,0,0,19,0,3,0,0,0,0,0,0,22
2020,ALTONAH,Motorcycle - Standard,0,0,0,0,7,0,0,0,0,0,0,7
2020,ALTONAH,Passenger - Standard,0,1,1,0,57,2,0,0,0,0,0,61
2020,ALTONAH,Light Truck,0,1,69,0,121,0,0,0,0,0,0,191
2020,ALTONAH,Heavy Truck,0,0,24,0,0,0,0,0,0,0,0,24
2020,AMALGA,Motorcycle - Standard,0,0,0,0,21,0,0,0,0,0,0,21
2020,AMALGA,Passenger - Standard,0,1,0,1,172,1,0,0,0,0,0,175
2020,AMALGA,Light Truck,0,0,50,0,170,0,0,0,0,0,0,220
2020,AMALGA,Heavy Truck,0,0,25,0,4,0,0,0,0,0,0,29
2020,AMERICAN FORK,Motorcycle - Standard,0,0,0,3,641,0,0,2,0,0,0,646
2020,AMERICAN FORK,Passenger - Low Speed,0,0,0,1,0,0,0,0,0,0,0,1
2020,AMERICAN FORK,Passenger - Standard,0,29,88,65,12082,317,0,0,38,0,0,12619
2020,AMERICAN FORK,Light Truck,0,18,980,5,9504,78,0,0,3,0,0,10588
2020,AMERICAN FORK,Heavy Truck,0,0,1065,0,128,0,0,0,0,7,0,1200
2020,ANETH,Motorcycle - Standard,0,0,0,0,9,0,0,0,0,0,0,9
2020,ANETH,Passenger - Standard,0,0,1,0,190,4,0,0,1,0,0,196
2020,ANETH,Light Truck,0,0,40,0,380,1,0,0,0,0,0,421
2020,ANETH,Heavy Truck,0,0,3,0,0,0,0,0,0,0,0,3
2020,ANNABELLA,Motorcycle - Standard,0,0,0,0,18,0,0,0,0,0,0,18
2020,ANNABELLA,Passenger - Standard,0,2,4,0,431,2,0,0,1,0,0,440
2020,ANNABELLA,Light Truck,0,1,138,0,506,0,0,0,0,0,0,645
