Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2021,ALPINE,Motorcycle - Standard,0,0,0,2,395,0,0,0,0,0,0,0,397
2021,ALPINE,Passenger - Low Speed,0,0,0,2,0,0,0,0,0,0,0,0,2
2021,ALPINE,Passenger - Standard,0,3,52,74,3552,151,0,0,0,29,0,0,3861
2021,ALPINE,Light Truck,0,5,453,36,4030,75,0,0,0,10,0,0,4609
2021,ALPINE,Heavy Truck,0,0,133,0,44,0,0,0,0,0,0,0,177
2021,ALTA,Motorcycle - Standard,0,0,0,0,13,0,0,0,0,0,0,0,13
2021,ALTA,Passenger - Standard,0,0,1,1,77,2,0,0,0,0,0,0,81
2021,ALTA,Light Truck,0,0,16,1,154,1,0,0,0,0,0,0,172
2021,ALTA,Heavy Truck,0,0,1,0,0,0,0,0,0,0,0,0,1
2021,ALTAMONT,Motorcycle - Standard,0,0,0,0,16,0,0,0,0,0,0,0,16
2021,ALTAMONT,Passenger - Standard,0,0,3,0,263,0,0,0,0,0,0,0,266
2021,ALTAMONT,Light Truck,0,1,195,0,528,0,0,0,0,0,0,0,724
2021,ALTAMONT,Heavy Truck,0,0,107,0,9,0,0,0,0,0,0,0,116
2021,ALTON,Motorcycle - Standard,0,0,0,0,3,0,0,0,0,0,0,0,3
2021,ALTON,Passenger - Standard,0,0,6,1,67,1,0,0,0,0,0,0,75
2021,ALTON,Light Truck,0,0,66,0,154,0,0,0,0,0,0,0,220
2021,ALTON,Heavy Truck,0,0,21,0,1,0,0,0,0,0,0,0,22
2021,ALTONAH,Motorcycle - Standard,0,0,0,0,6,0,0,0,0,0,0,0,6
2021,ALTONAH,Passenger - Standard,0,1,1,0,56,2,0,0,0,0,0,0,60
2021,ALTONAH,Light Truck,0,0,72,0,138,0,0,0,0,0,0,0,210
2021,ALTONAH,Heavy Truck,0,0,30,0,1,0,0,0,0,0,0,0,31
2021,AMALGA,Motorcycle - Standard,0,0,0,0,22,0,0,0,0,0,0,0,22
2021,AMALGA,Passenger - Standard,0,1,1,1,160,2,0,0,0,0,0,0,165
2021,AMALGA,Light Truck,0,0,49,0,185,0,0,0,0,0,0,0,234
2021,AMALGA,Heavy Truck,0,0,28,0,7,0,0,0,0,0,0,0,35
2021,AMERICAN FORK,Motorcycle - Standard,0,0,0,4,659,0,0,0,2,0,0,0,665
2021,AMERICAN FORK,Passenger - Low Speed,0,0,0,1,0,0,0,0,0,0,0,0,1
2021,AMERICAN FORK,Passenger - Standard,0,24,82,86,11644,352,0,0,0,33,0,0,12221
2021,AMERICAN FORK,Light Truck,0,23,1035,18,10705,105,0,0,0,8,0,0,11894
2021,AMERICAN FORK,Heavy Truck,0,0,1167,0,146,0,0,0,0,0,7,0,1320
2021,ANETH,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,0,0,11
2021,ANETH,Passenger - Standard,0,0,1,0,195,3,0,0,0,1,0,0,200
2021,ANETH,Light Truck,0,0,46,0,422,1,0,0,0,0,0,0,469
2021,ANETH,Heavy Truck,0,0,3,0,0,0,0,0,0,0,0,0,3
2021,ANNABELLA,Motorcycle - Standard,0,0,0,0,24,0,0,0,0,0,0,0,24
2021,ANNABELLA,Passenger - Standard,0,2,2,2,411,0,0,0,0,1,0,0,418
2021,ANNABELLA,Light Truck,0,1,154,0,520,0,0,0,0,0,0,0,675
2021,ANNABELLA,Heavy Truck,0,0,16,0,5,0,0,0,0,0,0,0,21
2021,ANTIMONY,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,0,0,11
2021,ANTIMONY,Passenger - Standard,0,0,1,0,83,2,0,0,0,0,0,0,86
2021,ANTIMONY,Light Truck,0,0,71,0,119,0,0,0,0,0,0,0,190
2021,ANTIMONY,Heavy Truck,0,0,10,0,1,0,0,0,0,0,0,0,11
2021,APPLE VALLEY,Motorcycle - Standard,0,0,0,0,41,0,0,0,0,0,0,0,41
2021,APPLE VALLEY,Passenger - Standard,0,4,13,2,322,10,0,0,0,1,0,0,352
2021,APPLE VALLEY,Light Truck,0,3,147,3,448,3,0,0,0,0,0,0,604
2021,APPLE VALLEY,Heavy Truck,0,0,26,0,8,0,0,0,0,0,0,0,34
2021,AURORA,Motorcycle - Standard,0,0,0,0,37,0,0,0,0,0,0,0,37
2021,AURORA,Passenger - Standard,0,2,3,0,433,8,0,0,0,1,0,0,447
2021,AURORA,Light Truck,0,5,260,0,600,3,0,0,0,0,0,0,868
2021,AURORA,Heavy Truck,0,0,185,0,5,0,0,0,0,0,0,0,190
2021,AXTELL,Motorcycle - Standard,0,0,0,0,4,0,0,0,0,0,0,0,4
2021,AXTELL,Passenger - Standard,0,0,2,0,148,2,0,0,0,0,0,0,152
2021,AXTELL,Light Truck,0,1,88,0,164,0,0,0,0,0,0,0,253
2021,AXTELL,Heavy Truck,0,0,7,0,3,0,0,0,0,0,0,0,10
2021,BALLARD,Motorcycle - Standard,0,0,0,0,32,0,0,0,0,0,0,0,32
2021,BALLARD,Passenger - Standard,0,0,2,0,400,4,0,0,0,0,0,0,406
2021,BALLARD,Light Truck,0,0,196,0,613,2,0,0,0,0,0,0,811
2021,BALLARD,Heavy Truck,0,0,171,0,9,0,0,0,0,0,0,0,180
2021,BEAR RIVER CITY,Motorcycle - Standard,0,0,0,0,26,0,0,0,0,0,0,0,26
2021,BEAR RIVER CITY,Passenger - Standard,0,4,6,0,374,5,0,0,0,1,0,0,390
2021,BEAR RIVER CITY,Light Truck,0,3,162,0,438,1,0,0,0,0,0,0,604
2021,BEAR RIVER CITY,Heavy Truck,0,0,49,0,8,0,0,0,0,0,0,0,57
2021,BEAVER,Motorcycle - Standard,0,0,0,1,98,0,0,0,0,0,0,0,99
