City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
ALPINE,Motorcycle - Standard,0,0,0,0,1,452,0,0,0,0,0,0,0,453
`,Passenger - Standard,0,0,3,45,131,3056,141,0,0,0,36,0,0,3412
`,Light Truck,0,0,2,451,113,4539,132,0,0,0,34,0,0,5271
`,Heavy Truck,0,0,0,247,0,29,0,0,0,0,0,0,0,276
ALTA,Motorcycle - Standard,0,0,0,0,0,13,0,0,0,0,0,0,0,13
ALTA,Passenger - Standard,0,0,0,1,1,56,0,0,0,0,0,0,0,58
ALTA,Light Truck,0,0,0,14,1,160,2,0,0,0,2,0,0,179
ALTA,Heavy Truck,0,0,0,1,0,1,0,0,0,0,0,0,0,2
ALTAMONT,Motorcycle - Standard,0,0,0,0,0,21,0,0,0,0,0,0,0,21
ALTAMONT,Passenger - Standard,0,0,0,3,1,229,1,0,0,0,0,0,0,234
ALTAMONT,Light Truck,0,0,1,223,0,553,1,0,0,0,0,0,0,778
ALTAMONT,Heavy Truck,0,0,0,138,0,9,0,0,0,0,0,0,0,147
ALTON,Motorcycle - Standard,0,0,0,0,0,14,0,0,0,0,0,0,0,14
ALTON,Passenger - Standard,0,0,0,2,1,83,2,0,0,0,0,0,0,88
ALTON,Light Truck,0,0,0,75,0,179,0,0,0,0,0,0,0,254
ALTON,Heavy Truck,0,0,0,26,0,2,0,0,0,0,0,0,0,28
ALTONAH,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
ALTONAH,Passenger - Standard,0,0,1,0,0,63,2,0,0,0,0,0,0,66
ALTONAH,Light Truck,0,0,0,90,0,151,0,0,0,0,0,0,0,241
ALTONAH,Heavy Truck,0,0,0,41,0,2,0,0,0,0,0,0,0,43
AMALGA,Motorcycle - Standard,0,0,0,0,0,20,0,0,0,0,0,0,0,20
AMALGA,Passenger - Standard,0,0,0,2,1,145,1,0,0,0,1,0,0,150
AMALGA,Light Truck,0,0,0,51,0,188,1,0,0,0,1,0,0,241
AMALGA,Heavy Truck,0,0,0,36,0,4,0,0,0,0,0,0,0,40
