City, Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
ALPINE,Motorcycle - Standard,0,0,0,0,2,442,0,0,0,0,0,0,0,444
ALPINE,Passenger - Standard,0,0,2,39,132,2865,128,0,0,1,26,0,0,3193
ALPINE,Light Truck,0,0,2,454,179,4723,183,0,0,0,42,0,0,5583
ALPINE,Heavy Truck,0,0,0,258,0,29,0,0,0,0,0,0,0,287
ALTA,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
ALTA,Passenger - Standard,0,0,0,1,2,47,0,0,0,0,0,0,0,50
ALTA,Light Truck,0,0,0,14,2,173,2,0,0,0,2,0,0,193
ALTA,Heavy Truck,0,0,0,2,0,1,0,0,0,0,0,0,0,3
ALTAMONT,Motorcycle - Standard,0,0,0,0,0,24,0,0,0,0,0,0,0,24
ALTAMONT,Passenger - Standard,0,0,0,4,1,215,1,0,0,0,0,0,0,221
ALTAMONT,Light Truck,0,0,0,253,0,610,0,0,0,0,0,0,0,863
ALTAMONT,Heavy Truck,0,0,0,139,0,9,0,0,0,0,0,0,0,148
ALTON,Motorcycle - Standard,0,0,0,0,0,16,0,0,0,0,0,0,0,16
ALTON,Passenger - Standard,0,0,0,5,1,71,3,0,0,0,0,0,0,80
ALTON,Light Truck,0,0,0,81,0,195,1,0,0,0,1,0,0,278
ALTON,Heavy Truck,0,0,0,24,0,2,0,0,0,0,0,0,0,26
ALTONAH,Motorcycle - Standard,0,0,0,0,0,10,0,0,0,0,0,0,0,10
ALTONAH,Passenger - Standard,0,0,1,0,0,60,1,0,0,0,0,0,0,62
ALTONAH,Light Truck,0,0,1,96,0,171,0,0,0,0,0,0,0,268
ALTONAH,Heavy Truck,0,0,0,43,0,2,0,0,0,0,0,0,0,45
AMALGA,Motorcycle - Standard,0,0,0,0,0,25,0,0,0,0,0,0,0,25
AMALGA,Passenger - Standard,0,0,1,2,1,144,2,0,0,0,1,0,0,151
AMALGA,Light Truck,0,0,0,60,2,202,1,0,0,0,1,0,0,266
AMALGA,Heavy Truck,0,0,0,38,0,4,0,0,0,0,0,0,0,42
AMERICAN FORK,Motorcycle - Standard,0,0,0,0,8,812,0,0,0,1,0,0,0,821
AMERICAN FORK,Passenger - Standard,0,0,14,76,238,11198,449,0,0,0,69,0,0,12044
AMERICAN FORK,Light Truck,0,0,16,1192,384,13974,388,0,0,0,68,0,0,16022
AMERICAN FORK,Heavy Truck,0,0,0,1053,0,147,0,0,0,0,0,7,0,1207
ANETH,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
ANETH,Passenger - Standard,0,0,0,0,0,183,3,0,0,0,0,0,0,186
ANETH,Light Truck,0,0,0,52,0,416,0,0,0,0,0,0,0,468
ANETH,Heavy Truck,0,0,0,2,0,1,0,0,0,0,0,0,0,3
ANNABELLA,Motorcycle - Standard,0,0,0,0,0,24,0,0,0,0,0,0,0,24
ANNABELLA,Passenger - Standard,0,0,2,5,2,381,5,0,0,0,1,0,0,396
ANNABELLA,Light Truck,0,0,0,195,1,587,5,0,0,0,2,0,0,790
ANNABELLA,Heavy Truck,0,0,0,52,0,4,0,0,0,0,0,0,0,56
ANTIMONY,Motorcycle - Standard,0,0,0,0,0,12,0,0,0,0,0,0,0,12
ANTIMONY,Passenger - Standard,0,0,0,0,0,81,3,0,0,0,0,0,0,84
ANTIMONY,Light Truck,0,0,0,66,0,151,0,0,0,0,0,0,0,217
ANTIMONY,Heavy Truck,0,0,0,13,0,0,0,0,0,0,0,0,0,13
APPLE VALLEY,Motorcycle - Standard,0,0,0,0,0,56,0,0,0,0,0,0,0,56
APPLE VALLEY,Passenger - Standard,0,0,3,17,5,344,13,0,0,0,0,0,0,382
