Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2020,"Salt Lake City, UT",41620,1/1/2020,49,Good,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,1/2/2020,37,Good,NO2,49-035-3015,7
2020,"Salt Lake City, UT",41620,1/3/2020,38,Good,NO2,49-035-3015,7
2020,"Salt Lake City, UT",41620,1/4/2020,56,Moderate,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/5/2020,64,Moderate,PM2.5,49-035-3015,7
2020,"Salt Lake City, UT",41620,1/6/2020,39,Good,NO2,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/7/2020,41,Good,NO2,49-035-3006,7
2020,"Salt Lake City, UT",41620,1/8/2020,48,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/9/2020,46,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/10/2020,38,Good,NO2,49-045-0004,7
2020,"Salt Lake City, UT",41620,1/11/2020,38,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,1/12/2020,38,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,1/13/2020,42,Good,NO2,49-035-3006,7
2020,"Salt Lake City, UT",41620,1/14/2020,42,Good,NO2,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/15/2020,53,Moderate,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/16/2020,58,Moderate,PM2.5,49-035-3015,7
2020,"Salt Lake City, UT",41620,1/17/2020,41,Good,NO2,49-035-3013,7
2020,"Salt Lake City, UT",41620,1/18/2020,46,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/19/2020,63,Moderate,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/20/2020,90,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,1/21/2020,88,Moderate,PM2.5,49-045-0004,7
2020,"Salt Lake City, UT",41620,1/22/2020,51,Moderate,PM2.5,49-045-0004,7
2020,"Salt Lake City, UT",41620,1/23/2020,63,Moderate,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/24/2020,60,Moderate,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/25/2020,73,Moderate,PM2.5,49-035-3010,7
2020,"Salt Lake City, UT",41620,1/26/2020,60,Moderate,PM2.5,49-035-3015,7
2020,"Salt Lake City, UT",41620,1/27/2020,37,Good,NO2,49-045-0004,7
2020,"Salt Lake City, UT",41620,1/28/2020,35,Good,NO2,49-035-3015,7
2020,"Salt Lake City, UT",41620,1/29/2020,35,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,1/30/2020,50,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,1/31/2020,57,Moderate,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,2/1/2020,53,Moderate,PM2.5,49-035-3010,7
