City,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL,Year
ALPINE,0,0,0,0,2,442,0,0,0,0,0,0,0,444,2024
ALPINE,0,0,2,39,132,2865,128,0,0,1,26,0,0,3193,2024
ALPINE,0,0,2,454,179,4723,183,0,0,0,42,0,0,5583,2024
ALPINE,0,0,0,258,0,29,0,0,0,0,0,0,0,287,2024
ALTA,0,0,0,0,0,11,0,0,0,0,0,0,0,11,2024
ALTA,0,0,0,1,2,47,0,0,0,0,0,0,0,50,2024
ALTA,0,0,0,14,2,173,2,0,0,0,2,0,0,193,2024
ALTA,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2024
ALTAMONT,0,0,0,0,0,24,0,0,0,0,0,0,0,24,2024
ALTAMONT,0,0,0,4,1,215,1,0,0,0,0,0,0,221,2024
ALTAMONT,0,0,0,253,0,610,0,0,0,0,0,0,0,863,2024
ALTAMONT,0,0,0,139,0,9,0,0,0,0,0,0,0,148,2024
ALTON,0,0,0,0,0,16,0,0,0,0,0,0,0,16,2024
ALTON,0,0,0,5,1,71,3,0,0,0,0,0,0,80,2024
ALTON,0,0,0,81,0,195,1,0,0,0,1,0,0,278,2024
ALTON,0,0,0,24,0,2,0,0,0,0,0,0,0,26,2024
ALTONAH,0,0,0,0,0,10,0,0,0,0,0,0,0,10,2024
ALTONAH,0,0,1,0,0,60,1,0,0,0,0,0,0,62,2024
ALTONAH,0,0,1,96,0,171,0,0,0,0,0,0,0,268,2024
ALTONAH,0,0,0,43,0,2,0,0,0,0,0,0,0,45,2024
AMALGA,0,0,0,0,0,25,0,0,0,0,0,0,0,25,2024
AMALGA,0,0,1,2,1,144,2,0,0,0,1,0,0,151,2024
AMALGA,0,0,0,60,2,202,1,0,0,0,1,0,0,266,2024
AMALGA,0,0,0,38,0,4,0,0,0,0,0,0,0,42,2024
AMERICAN FORK,0,0,0,0,8,812,0,0,0,1,0,0,0,821,2024
AMERICAN FORK,0,0,14,76,238,11198,449,0,0,0,69,0,0,12044,2024
AMERICAN FORK,0,0,16,1192,384,13974,388,0,0,0,68,0,0,16022,2024
AMERICAN FORK,0,0,0,1053,0,147,0,0,0,0,0,7,0,1207,2024
ANETH,0,0,0,0,0,11,0,0,0,0,0,0,0,11,2024
ANETH,0,0,0,0,0,183,3,0,0,0,0,0,0,186,2024
ANETH,0,0,0,52,0,416,0,0,0,0,0,0,0,468,2024
ANETH,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2024
ANNABELLA,0,0,0,0,0,24,0,0,0,0,0,0,0,24,2024
ANNABELLA,0,0,2,5,2,381,5,0,0,0,1,0,0,396,2024
ANNABELLA,0,0,0,195,1,587,5,0,0,0,2,0,0,790,2024
ANNABELLA,0,0,0,52,0,4,0,0,0,0,0,0,0,56,2024
ANTIMONY,0,0,0,0,0,12,0,0,0,0,0,0,0,12,2024
ANTIMONY,0,0,0,0,0,81,3,0,0,0,0,0,0,84,2024
ANTIMONY,0,0,0,66,0,151,0,0,0,0,0,0,0,217,2024
ANTIMONY,0,0,0,13,0,0,0,0,0,0,0,0,0,13,2024
APPLE VALLEY,0,0,0,0,0,56,0,0,0,0,0,0,0,56,2024
APPLE VALLEY,0,0,3,17,5,344,13,0,0,0,0,0,0,382,2024
APPLE VALLEY,0,0,2,212,5,571,10,0,0,0,3,0,0,803,2024
APPLE VALLEY,0,0,0,42,0,8,0,0,0,0,0,0,0,50,2024
